Sequence Number n,EEG (V),,,
1,-1.70E-06,,,
2,-1.54E-06,,,
3,-1.93E-06,,,
4,-2.16E-06,,,
5,-1.62E-06,,,
6,-1.85E-06,,,
7,-1.93E-06,,,
8,-1.62E-06,,,
9,-1.47E-06,,,
10,-1.77E-06,,,
11,-1.23E-06,,,
12,-6.17E-07,,,
13,-5.40E-07,,,
14,-9.26E-07,,,
15,-1.54E-06,,,
0,-2.31E-06,,,
1,-1.93E-06,,,
2,-1.77E-06,,,
3,-1.85E-06,,,
4,-2.16E-06,,,
5,-1.47E-06,,,
6,-1.54E-06,,,
7,-1.77E-06,,,
8,-2.01E-06,,,
9,-1.23E-06,,,
10,-1.47E-06,,,
11,-9.26E-07,,,
12,-7.71E-08,,,
13,6.94E-07,,,
14,-1.54E-07,,,
15,-1.00E-06,,,
0,-9.26E-07,,,
1,-6.17E-07,,,
2,-1.08E-06,,,
3,-1.47E-06,,,
4,-2.16E-06,,,
5,-1.47E-06,,,
6,-1.23E-06,,,
7,-1.23E-06,,,
8,-1.47E-06,,,
9,-7.71E-07,,,
10,-9.26E-07,,,
11,-6.94E-07,,,
12,-3.09E-07,,,
13,6.17E-07,,,
14,3.09E-07,,,
15,3.86E-07,,,
0,9.26E-07,,,
1,1.31E-06,,,
2,9.26E-07,,,
3,0,,,
4,2.31E-07,,,
5,7.71E-08,,,
6,-5.40E-07,,,
7,-1.08E-06,,,
8,-1.85E-06,,,
9,-1.23E-06,,,
10,-8.48E-07,,,
11,-9.26E-07,,,
12,1.54E-07,,,
13,-7.71E-08,,,
14,-7.71E-07,,,
15,-1.31E-06,,,
0,-1.62E-06,,,
1,-8.48E-07,,,
2,-1.31E-06,,,
3,-1.70E-06,,,
4,-1.31E-06,,,
5,-9.26E-07,,,
6,-1.31E-06,,,
7,-1.54E-06,,,
8,-1.08E-06,,,
9,-6.94E-07,,,
10,-5.40E-07,,,
11,-7.71E-08,,,
12,-5.40E-07,,,
13,-7.71E-08,,,
14,-5.40E-07,,,
15,-6.17E-07,,,
0,-1.16E-06,,,
1,-6.94E-07,,,
2,-9.26E-07,,,
3,-1.00E-06,,,
4,-1.54E-06,,,
5,-6.94E-07,,,
6,-9.26E-07,,,
7,-1.08E-06,,,
8,-1.00E-06,,,
9,-6.17E-07,,,
10,-7.71E-07,,,
11,7.71E-08,,,
12,6.94E-07,,,
13,9.26E-07,,,
14,6.94E-07,,,
15,2.31E-07,,,
0,8.48E-07,,,
1,5.40E-07,,,
2,-3.09E-07,,,
3,-7.71E-07,,,
4,-1.39E-06,,,
5,-5.40E-07,,,
6,-5.40E-07,,,
7,-3.09E-07,,,
8,-6.94E-07,,,
9,7.71E-08,,,
10,7.71E-08,,,
11,5.40E-07,,,
12,1.23E-06,,,
13,1.93E-06,,,
14,1.31E-06,,,
15,7.71E-07,,,
0,7.71E-07,,,
1,5.40E-07,,,
2,7.71E-08,,,
3,-3.09E-07,,,
4,-1.00E-06,,,
5,-3.09E-07,,,
6,0,,,
7,-2.31E-07,,,
8,-5.40E-07,,,
9,3.09E-07,,,
10,2.31E-07,,,
11,8.48E-07,,,
12,1.23E-06,,,
13,1.77E-06,,,
14,1.16E-06,,,
15,6.94E-07,,,
0,1.00E-06,,,
1,1.00E-06,,,
2,6.94E-07,,,
